id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,audio_features,spotify:track:2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/tracks/2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/audio-analysis/2JzZzZUQj3Qff7wapcbKjc,229526,4,81
1VNWaY3uNfoeWqb5U8x2QX,Lonely Day,0.47,0.796,8,-3.277,0,0.0336,0.362,1.1e-06,0.133,0.215,113.108,audio_features,spotify:track:1VNWaY3uNfoeWqb5U8x2QX,https://api.spotify.com/v1/tracks/1VNWaY3uNfoeWqb5U8x2QX,https://api.spotify.com/v1/audio-analysis/1VNWaY3uNfoeWqb5U8x2QX,167907,3,79
2DlHlPMa4M17kufBvI2lEN,Chop Suey!,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,audio_features,spotify:track:2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240,4,83
5IX4TbIR5mMHGE4wiWwKW0,One,0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,audio_features,spotify:track:5IX4TbIR5mMHGE4wiWwKW0,https://api.spotify.com/v1/tracks/5IX4TbIR5mMHGE4wiWwKW0,https://api.spotify.com/v1/audio-analysis/5IX4TbIR5mMHGE4wiWwKW0,447440,3,72
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,audio_features,spotify:track:3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/tracks/3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/audio-analysis/3hxIUxnT27p5WcmjGUXNwx,164571,4,86
3KXnernULp3hwFbLR4dIpD,Ghostface,0.838,0.651,10,-6.846,0,0.163,0.00304,1.09e-05,0.19,0.555,129.957,audio_features,spotify:track:3KXnernULp3hwFbLR4dIpD,https://api.spotify.com/v1/tracks/3KXnernULp3hwFbLR4dIpD,https://api.spotify.com/v1/audio-analysis/3KXnernULp3hwFbLR4dIpD,180297,4,23
42qNWdLKCI41S4uzfamhFM,Duvet,0.583,0.888,11,-9.414,0,0.0349,0.191,4.58e-05,0.0936,0.706,93.206,audio_features,spotify:track:42qNWdLKCI41S4uzfamhFM,https://api.spotify.com/v1/tracks/42qNWdLKCI41S4uzfamhFM,https://api.spotify.com/v1/audio-analysis/42qNWdLKCI41S4uzfamhFM,203600,4,82
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,audio_features,spotify:track:5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/tracks/5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/audio-analysis/5FVd6KXrgO9B3JPmC8OPst,272394,4,84
3EDKy3jIiw1OJqqZcdOCxm,Will Of The People,0.362,0.947,11,-3.617,0,0.239,0.00895,0.0,0.285,0.583,130.005,audio_features,spotify:track:3EDKy3jIiw1OJqqZcdOCxm,https://api.spotify.com/v1/tracks/3EDKy3jIiw1OJqqZcdOCxm,https://api.spotify.com/v1/audio-analysis/3EDKy3jIiw1OJqqZcdOCxm,198850,4,39
1Uaerh3hAPbDBfQXdAcrSn,Demon,0.791,0.547,1,-8.325,1,0.122,0.141,0.0748,0.257,0.391,99.012,audio_features,spotify:track:1Uaerh3hAPbDBfQXdAcrSn,https://api.spotify.com/v1/tracks/1Uaerh3hAPbDBfQXdAcrSn,https://api.spotify.com/v1/audio-analysis/1Uaerh3hAPbDBfQXdAcrSn,222912,4,31
