id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity
6YOfGIE6iFxC7G8OlGGvzW,ROCKSTAR,0.761,0.658,11,-7.188,1,0.0429,0.292,1.55e-06,0.137,0.895,125.036,audio_features,spotify:track:6YOfGIE6iFxC7G8OlGGvzW,https://api.spotify.com/v1/tracks/6YOfGIE6iFxC7G8OlGGvzW,https://api.spotify.com/v1/audio-analysis/6YOfGIE6iFxC7G8OlGGvzW,168677,3,79
0UvCh63URrLFcPkKt99hHd,Don't Look Back in Anger - Remastered,0.327,0.938,0,-3.237,1,0.0636,0.0707,3.79e-06,0.148,0.327,162.933,audio_features,spotify:track:0UvCh63URrLFcPkKt99hHd,https://api.spotify.com/v1/tracks/0UvCh63URrLFcPkKt99hHd,https://api.spotify.com/v1/audio-analysis/0UvCh63URrLFcPkKt99hHd,289560,4,72
4LFwqwVGdViVgDIvJNIqqV,"Sad Song - Mauldeth Road West Demo, Nov' 92",0.512,0.464,7,-9.092,1,0.0311,0.692,0.0,0.125,0.0718,106.583,audio_features,spotify:track:4LFwqwVGdViVgDIvJNIqqV,https://api.spotify.com/v1/tracks/4LFwqwVGdViVgDIvJNIqqV,https://api.spotify.com/v1/audio-analysis/4LFwqwVGdViVgDIvJNIqqV,274534,4,50
6RcAHyC5sAUIbPTkhOQwd8,Y LLORO,0.728,0.589,7,-7.115,1,0.0376,0.424,7.78e-06,0.166,0.767,77.475,audio_features,spotify:track:6RcAHyC5sAUIbPTkhOQwd8,https://api.spotify.com/v1/tracks/6RcAHyC5sAUIbPTkhOQwd8,https://api.spotify.com/v1/audio-analysis/6RcAHyC5sAUIbPTkhOQwd8,179013,4,84
0nOF9ewQlwzVU0qKPR2DTq,Live Forever - Remastered,0.192,0.828,9,-3.382,0,0.0452,2.74e-05,1.97e-05,0.362,0.189,118.935,audio_features,spotify:track:0nOF9ewQlwzVU0qKPR2DTq,https://api.spotify.com/v1/tracks/0nOF9ewQlwzVU0qKPR2DTq,https://api.spotify.com/v1/audio-analysis/0nOF9ewQlwzVU0qKPR2DTq,276667,5,51
6z1Xz89avh1KA7d3Ek7DQP,Half the World Away - Remastered,0.338,0.459,0,-8.652,1,0.0305,0.305,0.0,0.0909,0.229,171.917,audio_features,spotify:track:6z1Xz89avh1KA7d3Ek7DQP,https://api.spotify.com/v1/tracks/6z1Xz89avh1KA7d3Ek7DQP,https://api.spotify.com/v1/audio-analysis/6z1Xz89avh1KA7d3Ek7DQP,267333,3,56
2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),0.573,0.668,7,-4.356,0,0.0467,0.189,4.01e-05,0.109,0.145,87.973,audio_features,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/tracks/2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/audio-analysis/2Hh3ETdQKrmSI3QS0hme7g,199920,4,82
4kjI1gwQZRKNDkw1nI475M,MY EYES,0.455,0.621,0,-7.694,0,0.0517,0.651,2.59e-06,0.123,0.28,119.043,audio_features,spotify:track:4kjI1gwQZRKNDkw1nI475M,https://api.spotify.com/v1/tracks/4kjI1gwQZRKNDkw1nI475M,https://api.spotify.com/v1/audio-analysis/4kjI1gwQZRKNDkw1nI475M,251250,4,82
5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,0.376,0.896,2,-4.065,1,0.0395,0.000452,0.0,0.194,0.472,174.379,audio_features,spotify:track:5qqabIl2vWzo9ApSC317sa,https://api.spotify.com/v1/tracks/5qqabIl2vWzo9ApSC317sa,https://api.spotify.com/v1/audio-analysis/5qqabIl2vWzo9ApSC317sa,258773,4,78
2VhJ4nrPorAbySEgO4V0BS,Soñé - En Vivo,0.627,0.476,2,-7.231,1,0.0282,0.132,0.0147,0.716,0.462,83.0,audio_features,spotify:track:2VhJ4nrPorAbySEgO4V0BS,https://api.spotify.com/v1/tracks/2VhJ4nrPorAbySEgO4V0BS,https://api.spotify.com/v1/audio-analysis/2VhJ4nrPorAbySEgO4V0BS,226627,4,70
