id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity
1cOboCuWYI2osTOfolMRS6,Tu Boda,0.694,0.651,6,-6.968,1,0.0784,0.496,1.36e-05,0.0787,0.471,112.648,audio_features,spotify:track:1cOboCuWYI2osTOfolMRS6,https://api.spotify.com/v1/tracks/1cOboCuWYI2osTOfolMRS6,https://api.spotify.com/v1/audio-analysis/1cOboCuWYI2osTOfolMRS6,225881,3,90
1AqemxWsT0iGg5Lvkm16Bt,Fukk Sleep (feat. FKA twigs),0.798,0.412,2,-9.305,1,0.36,0.443,7.43e-05,0.219,0.304,135.959,audio_features,spotify:track:1AqemxWsT0iGg5Lvkm16Bt,https://api.spotify.com/v1/tracks/1AqemxWsT0iGg5Lvkm16Bt,https://api.spotify.com/v1/audio-analysis/1AqemxWsT0iGg5Lvkm16Bt,192973,4,63
2XeqqfeJgtG3mQI5xNeNTy,Woops,0.768,0.987,7,-8.219,1,0.058,0.431,0.789,0.0708,0.338,153.872,audio_features,spotify:track:2XeqqfeJgtG3mQI5xNeNTy,https://api.spotify.com/v1/tracks/2XeqqfeJgtG3mQI5xNeNTy,https://api.spotify.com/v1/audio-analysis/2XeqqfeJgtG3mQI5xNeNTy,258013,4,64
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,audio_features,spotify:track:1Es7AUAhQvapIcoh3qMKDL,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL,256000,4,92
3QnIxdHg35zqW1Msu2mMGS,Mente Sucia,0.857,0.593,10,-6.003,1,0.39,0.209,0.0,0.0835,0.71,119.078,audio_features,spotify:track:3QnIxdHg35zqW1Msu2mMGS,https://api.spotify.com/v1/tracks/3QnIxdHg35zqW1Msu2mMGS,https://api.spotify.com/v1/audio-analysis/3QnIxdHg35zqW1Msu2mMGS,175804,4,29
1RkkjNnU8I4PDrzkZHECWf,PRIMO,0.661,0.808,3,-6.28,0,0.0347,0.355,0.0,0.131,0.7,144.886,audio_features,spotify:track:1RkkjNnU8I4PDrzkZHECWf,https://api.spotify.com/v1/tracks/1RkkjNnU8I4PDrzkZHECWf,https://api.spotify.com/v1/audio-analysis/1RkkjNnU8I4PDrzkZHECWf,164991,3,74
512S8LC26YdKJeV22O2T8A,Q Calor,0.59,0.733,1,-9.347,0,0.512,0.239,9.92e-05,0.281,0.25,170.006,audio_features,spotify:track:512S8LC26YdKJeV22O2T8A,https://api.spotify.com/v1/tracks/512S8LC26YdKJeV22O2T8A,https://api.spotify.com/v1/audio-analysis/512S8LC26YdKJeV22O2T8A,234353,4,1
68PGUli5xICpRjozmXpBbQ,El Mundo Sigue Girando,0.502,0.633,9,-12.846,1,0.265,0.764,0.0,0.0987,0.756,139.996,audio_features,spotify:track:68PGUli5xICpRjozmXpBbQ,https://api.spotify.com/v1/tracks/68PGUli5xICpRjozmXpBbQ,https://api.spotify.com/v1/audio-analysis/68PGUli5xICpRjozmXpBbQ,200210,4,44
4MQBnk52HKbl59BX497xhM,Domodachi (feat. Little Simz),0.632,0.778,1,-6.546,1,0.133,0.184,1.19e-05,0.138,0.2,119.989,audio_features,spotify:track:4MQBnk52HKbl59BX497xhM,https://api.spotify.com/v1/tracks/4MQBnk52HKbl59BX497xhM,https://api.spotify.com/v1/audio-analysis/4MQBnk52HKbl59BX497xhM,184973,4,61
7l3UuUZEqvxjhKYD2QBxOU,Vaquero - Remix,0.752,0.91,4,-3.189,0,0.0541,0.481,0.0,0.0947,0.798,95.986,audio_features,spotify:track:7l3UuUZEqvxjhKYD2QBxOU,https://api.spotify.com/v1/tracks/7l3UuUZEqvxjhKYD2QBxOU,https://api.spotify.com/v1/audio-analysis/7l3UuUZEqvxjhKYD2QBxOU,300000,4,81
