id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity
1p7m9H4H8s0Y7SgRm7j3ED,Flaca,0.739,0.745,7,-6.658,1,0.0267,0.21,0.0135,0.127,0.949,109.326,audio_features,spotify:track:1p7m9H4H8s0Y7SgRm7j3ED,https://api.spotify.com/v1/tracks/1p7m9H4H8s0Y7SgRm7j3ED,https://api.spotify.com/v1/audio-analysis/1p7m9H4H8s0Y7SgRm7j3ED,277653,4,75
1NJKLFATWVw5LOmKku4Cz1,Conteo Regresivo,0.739,0.635,8,-6.976,1,0.0393,0.853,0.000119,0.0758,0.922,156.459,audio_features,spotify:track:1NJKLFATWVw5LOmKku4Cz1,https://api.spotify.com/v1/tracks/1NJKLFATWVw5LOmKku4Cz1,https://api.spotify.com/v1/audio-analysis/1NJKLFATWVw5LOmKku4Cz1,315452,4,34
1lTXpbq6RFcTvkNVTh8oPh,No Vale La Pena,0.588,0.908,10,-4.051,0,0.0426,0.225,2.92e-05,0.134,0.96,174.266,audio_features,spotify:track:1lTXpbq6RFcTvkNVTh8oPh,https://api.spotify.com/v1/tracks/1lTXpbq6RFcTvkNVTh8oPh,https://api.spotify.com/v1/audio-analysis/1lTXpbq6RFcTvkNVTh8oPh,283160,4,32
6ls5ulRydoPE7oWGPGBqFA,Lonely,0.633,0.529,5,-7.85,0,0.0339,0.307,0.0,0.342,0.578,90.08,audio_features,spotify:track:6ls5ulRydoPE7oWGPGBqFA,https://api.spotify.com/v1/tracks/6ls5ulRydoPE7oWGPGBqFA,https://api.spotify.com/v1/audio-analysis/6ls5ulRydoPE7oWGPGBqFA,235067,4,66
64YgHIiOAMXieoumWsapg0,Es el Amor,0.77,0.558,11,-7.354,0,0.0315,0.271,0.0,0.0357,0.769,92.647,audio_features,spotify:track:64YgHIiOAMXieoumWsapg0,https://api.spotify.com/v1/tracks/64YgHIiOAMXieoumWsapg0,https://api.spotify.com/v1/audio-analysis/64YgHIiOAMXieoumWsapg0,289739,4,62
7f9I5WdyXm5q1XqnSYgQZb,Brianstorm,0.42,0.974,1,-4.706,1,0.191,8.15e-05,0.00155,0.0871,0.463,165.182,audio_features,spotify:track:7f9I5WdyXm5q1XqnSYgQZb,https://api.spotify.com/v1/tracks/7f9I5WdyXm5q1XqnSYgQZb,https://api.spotify.com/v1/audio-analysis/7f9I5WdyXm5q1XqnSYgQZb,172867,4,66
0wOTue7XLK3zgMt2fjrj3h,Tengo Ganas,0.515,0.683,9,-6.787,0,0.0793,0.833,0.00103,0.112,0.29,96.431,audio_features,spotify:track:0wOTue7XLK3zgMt2fjrj3h,https://api.spotify.com/v1/tracks/0wOTue7XLK3zgMt2fjrj3h,https://api.spotify.com/v1/audio-analysis/0wOTue7XLK3zgMt2fjrj3h,301973,4,37
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),0.778,0.547,2,-7.273,1,0.0489,0.344,0.000306,0.132,0.442,95.0,audio_features,spotify:track:1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/tracks/1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/audio-analysis/1mKXFLRA179hdOWQBwUk9e,242733,4,84
4DEcdqqKokU7UAE4wCGQEy,Always Look On The Bright Side Of Life,0.669,0.535,2,-12.36,1,0.0972,0.432,0.0,0.208,0.739,120.071,audio_features,spotify:track:4DEcdqqKokU7UAE4wCGQEy,https://api.spotify.com/v1/tracks/4DEcdqqKokU7UAE4wCGQEy,https://api.spotify.com/v1/audio-analysis/4DEcdqqKokU7UAE4wCGQEy,215333,4,53
2pAD0PKMUMtxlMvz33tYzB,Is This It,0.664,0.679,5,-8.293,1,0.03,0.149,4.84e-05,0.347,0.804,96.002,audio_features,spotify:track:2pAD0PKMUMtxlMvz33tYzB,https://api.spotify.com/v1/tracks/2pAD0PKMUMtxlMvz33tYzB,https://api.spotify.com/v1/audio-analysis/2pAD0PKMUMtxlMvz33tYzB,150651,4,59
