id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity
1cOboCuWYI2osTOfolMRS6,Tu Boda,0.694,0.651,6,-6.968,1,0.0784,0.496,1.36e-05,0.0787,0.471,112.648,audio_features,spotify:track:1cOboCuWYI2osTOfolMRS6,https://api.spotify.com/v1/tracks/1cOboCuWYI2osTOfolMRS6,https://api.spotify.com/v1/audio-analysis/1cOboCuWYI2osTOfolMRS6,225881,3,90
6X6m4xmdFcz31p1h7Qg68c,EL LOKERON,0.724,0.689,7,-7.174,0,0.0524,0.573,6.77e-06,0.0922,0.936,120.208,audio_features,spotify:track:6X6m4xmdFcz31p1h7Qg68c,https://api.spotify.com/v1/tracks/6X6m4xmdFcz31p1h7Qg68c,https://api.spotify.com/v1/audio-analysis/6X6m4xmdFcz31p1h7Qg68c,146141,3,89
5lKFO0PrOC9jmOlPEdjHsL,DOS DÍAS,0.745,0.513,1,-9.116,1,0.087,0.783,0.0,0.216,0.929,109.935,audio_features,spotify:track:5lKFO0PrOC9jmOlPEdjHsL,https://api.spotify.com/v1/tracks/5lKFO0PrOC9jmOlPEdjHsL,https://api.spotify.com/v1/audio-analysis/5lKFO0PrOC9jmOlPEdjHsL,154620,3,88
6HrALJOMsfPCCbUo5cJCON,ESCAPATE,0.818,0.447,5,-10.247,0,0.047,0.514,8.14e-05,0.187,0.693,120.09,audio_features,spotify:track:6HrALJOMsfPCCbUo5cJCON,https://api.spotify.com/v1/tracks/6HrALJOMsfPCCbUo5cJCON,https://api.spotify.com/v1/audio-analysis/6HrALJOMsfPCCbUo5cJCON,145184,1,87
4OLT65TRsOx3Iv1TlCcQVb,Presidente,0.732,0.827,11,-4.152,1,0.0585,0.123,0.0,0.117,0.584,105.145,audio_features,spotify:track:4OLT65TRsOx3Iv1TlCcQVb,https://api.spotify.com/v1/tracks/4OLT65TRsOx3Iv1TlCcQVb,https://api.spotify.com/v1/audio-analysis/4OLT65TRsOx3Iv1TlCcQVb,181065,1,67
2aYZaN5SmkRDLsrrV8GkBQ,LA PATRULLA,0.722,0.74,6,-7.22,0,0.063,0.68,3.27e-05,0.176,0.893,132.731,audio_features,spotify:track:2aYZaN5SmkRDLsrrV8GkBQ,https://api.spotify.com/v1/tracks/2aYZaN5SmkRDLsrrV8GkBQ,https://api.spotify.com/v1/audio-analysis/2aYZaN5SmkRDLsrrV8GkBQ,130615,3,87
2lAUq68F2bt7Kc218n9FPp,AY MAMÁ,0.666,0.764,4,-6.297,0,0.116,0.366,0.0,0.347,0.729,148.853,audio_features,spotify:track:2lAUq68F2bt7Kc218n9FPp,https://api.spotify.com/v1/tracks/2lAUq68F2bt7Kc218n9FPp,https://api.spotify.com/v1/audio-analysis/2lAUq68F2bt7Kc218n9FPp,163115,4,84
6RcAHyC5sAUIbPTkhOQwd8,Y LLORO,0.728,0.589,7,-7.115,1,0.0376,0.424,7.78e-06,0.166,0.767,77.475,audio_features,spotify:track:6RcAHyC5sAUIbPTkhOQwd8,https://api.spotify.com/v1/tracks/6RcAHyC5sAUIbPTkhOQwd8,https://api.spotify.com/v1/audio-analysis/6RcAHyC5sAUIbPTkhOQwd8,179013,4,84
0BiDnJFB3TlRB6aji7jUz3,Rey Sin Reina,0.529,0.356,3,-6.612,1,0.0569,0.29,0.0,0.136,0.659,169.653,audio_features,spotify:track:0BiDnJFB3TlRB6aji7jUz3,https://api.spotify.com/v1/tracks/0BiDnJFB3TlRB6aji7jUz3,https://api.spotify.com/v1/audio-analysis/0BiDnJFB3TlRB6aji7jUz3,150523,3,85
1C84d9abZVKWHT2YYpoean,Si No Quieres No,0.786,0.786,4,-6.372,0,0.0512,0.445,2.12e-06,0.0947,0.611,100.123,audio_features,spotify:track:1C84d9abZVKWHT2YYpoean,https://api.spotify.com/v1/tracks/1C84d9abZVKWHT2YYpoean,https://api.spotify.com/v1/audio-analysis/1C84d9abZVKWHT2YYpoean,147011,1,86
