id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0nLiqZ6A27jJri2VCalIUs,Nothing Else Matters,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,audio_features,spotify:track:0nLiqZ6A27jJri2VCalIUs,https://api.spotify.com/v1/tracks/0nLiqZ6A27jJri2VCalIUs,https://api.spotify.com/v1/audio-analysis/0nLiqZ6A27jJri2VCalIUs,388267,3,78
1Cj2vqUwlJVG27gJrun92y,The Sound of Silence,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,audio_features,spotify:track:1Cj2vqUwlJVG27gJrun92y,https://api.spotify.com/v1/tracks/1Cj2vqUwlJVG27gJrun92y,https://api.spotify.com/v1/audio-analysis/1Cj2vqUwlJVG27gJrun92y,248467,4,73
0NByfOtKge32j77jYtU1az,Hallelujah,0.13,0.505,1,-6.258,0,0.0313,0.00256,0.0,0.0926,0.0611,181.546,audio_features,spotify:track:0NByfOtKge32j77jYtU1az,https://api.spotify.com/v1/tracks/0NByfOtKge32j77jYtU1az,https://api.spotify.com/v1/audio-analysis/0NByfOtKge32j77jYtU1az,256947,3,0
6b2oQwSGFkzsMtQruIWm2p,Creep,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,audio_features,spotify:track:6b2oQwSGFkzsMtQruIWm2p,https://api.spotify.com/v1/tracks/6b2oQwSGFkzsMtQruIWm2p,https://api.spotify.com/v1/audio-analysis/6b2oQwSGFkzsMtQruIWm2p,238640,4,24
0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,0.551,0.914,0,-4.063,0,0.0465,0.0263,1.35e-05,0.347,0.543,119.994,audio_features,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/tracks/0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/audio-analysis/0v1XpBHnsbkCn7iJ9Ucr1l,224493,4,79
3D0bXrSv7O73vOaGOG8J9c,Sweet Dreams (Are Made Of This),0.222,0.664,0,-5.242,0,0.0379,0.0039,0.65,0.239,0.101,186.044,audio_features,spotify:track:3D0bXrSv7O73vOaGOG8J9c,https://api.spotify.com/v1/tracks/3D0bXrSv7O73vOaGOG8J9c,https://api.spotify.com/v1/audio-analysis/3D0bXrSv7O73vOaGOG8J9c,293293,4,59
2WmbbiWfFEKsSZe6E5GeVe,The Phantom Of The Opera,0.431,0.829,5,-7.713,0,0.0491,7.33e-06,0.03,0.086,0.356,131.891,audio_features,spotify:track:2WmbbiWfFEKsSZe6E5GeVe,https://api.spotify.com/v1/tracks/2WmbbiWfFEKsSZe6E5GeVe,https://api.spotify.com/v1/audio-analysis/2WmbbiWfFEKsSZe6E5GeVe,248707,4,1
60a0Rd6pjrkxjPbaKzXjfq,In the End,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,audio_features,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,216880,4,87
4VqPOruhp5EdPBeR92t6lQ,Uprising,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,audio_features,spotify:track:4VqPOruhp5EdPBeR92t6lQ,https://api.spotify.com/v1/tracks/4VqPOruhp5EdPBeR92t6lQ,https://api.spotify.com/v1/audio-analysis/4VqPOruhp5EdPBeR92t6lQ,304840,4,74
4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507,audio_features,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,https://api.spotify.com/v1/tracks/4pt5fDVTg5GhEvEtlz9dKk,https://api.spotify.com/v1/audio-analysis/4pt5fDVTg5GhEvEtlz9dKk,173347,4,81
3Wrjm47oTz2sjIgck11l5e,Beggin',0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,audio_features,spotify:track:3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,4,82
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,audio_features,spotify:track:0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/audio-analysis/0COqiPhxzoWICwFCS4eZcp,235893,4,83
1hwJKpe0BPUsq6UUrwBWTw,Boulevard of Broken Dreams,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046,audio_features,spotify:track:1hwJKpe0BPUsq6UUrwBWTw,https://api.spotify.com/v1/tracks/1hwJKpe0BPUsq6UUrwBWTw,https://api.spotify.com/v1/audio-analysis/1hwJKpe0BPUsq6UUrwBWTw,261267,4,76
1fr92Vupmcs2vgLMFVQ7rd,In the Shadows,0.6,0.796,2,-4.481,1,0.0275,0.000109,5.2e-05,0.484,0.75,105.991,audio_features,spotify:track:1fr92Vupmcs2vgLMFVQ7rd,https://api.spotify.com/v1/tracks/1fr92Vupmcs2vgLMFVQ7rd,https://api.spotify.com/v1/audio-analysis/1fr92Vupmcs2vgLMFVQ7rd,257920,4,70
0zXHdFLJlSrj1d6dRcoUua,Livin' in a World Without You,0.591,0.883,4,-5.051,0,0.0416,0.0066,0.0,0.467,0.429,100.972,audio_features,spotify:track:0zXHdFLJlSrj1d6dRcoUua,https://api.spotify.com/v1/tracks/0zXHdFLJlSrj1d6dRcoUua,https://api.spotify.com/v1/audio-analysis/0zXHdFLJlSrj1d6dRcoUua,230213,4,52
5wQnmLuC1W7ATsArWACrgW,Welcome to the Black Parade,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,audio_features,spotify:track:5wQnmLuC1W7ATsArWACrgW,https://api.spotify.com/v1/tracks/5wQnmLuC1W7ATsArWACrgW,https://api.spotify.com/v1/audio-analysis/5wQnmLuC1W7ATsArWACrgW,311107,4,76
7jn8hXDNA8PiP6ohsidANR,Total Eclipse of the Heart,0.54,0.921,8,-4.401,1,0.0549,0.102,2.81e-06,0.142,0.303,130.038,audio_features,spotify:track:7jn8hXDNA8PiP6ohsidANR,https://api.spotify.com/v1/tracks/7jn8hXDNA8PiP6ohsidANR,https://api.spotify.com/v1/audio-analysis/7jn8hXDNA8PiP6ohsidANR,265173,4,42
15znHkteSpb84tgFCKy31P,Paparazzi,0.552,0.917,10,-5.848,1,0.126,0.0105,0.0,0.0797,0.194,114.902,audio_features,spotify:track:15znHkteSpb84tgFCKy31P,https://api.spotify.com/v1/tracks/15znHkteSpb84tgFCKy31P,https://api.spotify.com/v1/audio-analysis/15znHkteSpb84tgFCKy31P,250427,4,37
5rLi8B8qgk6qThwRnKHW2P,The Ballad of Mona Lisa,0.436,0.893,9,-4.18,0,0.0556,0.000362,0.0,0.103,0.0794,124.113,audio_features,spotify:track:5rLi8B8qgk6qThwRnKHW2P,https://api.spotify.com/v1/tracks/5rLi8B8qgk6qThwRnKHW2P,https://api.spotify.com/v1/audio-analysis/5rLi8B8qgk6qThwRnKHW2P,226680,4,66
5z6xHjCZr7a7AIcy8sPBKy,Smooth Criminal,0.653,0.964,9,-4.26,0,0.0578,0.00316,0.0051,0.144,0.872,126.928,audio_features,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,https://api.spotify.com/v1/tracks/5z6xHjCZr7a7AIcy8sPBKy,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,209267,4,73
3ZffCQKLFLUvYM59XKLbVm,Wake Me up When September Ends,0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,audio_features,spotify:track:3ZffCQKLFLUvYM59XKLbVm,https://api.spotify.com/v1/tracks/3ZffCQKLFLUvYM59XKLbVm,https://api.spotify.com/v1/audio-analysis/3ZffCQKLFLUvYM59XKLbVm,285653,4,77
5UHNEyr0StokdWPuxEUjHq,Because the Night,0.485,0.821,7,-6.579,1,0.0464,5.88e-05,0.0,0.0817,0.214,118.328,audio_features,spotify:track:5UHNEyr0StokdWPuxEUjHq,https://api.spotify.com/v1/tracks/5UHNEyr0StokdWPuxEUjHq,https://api.spotify.com/v1/audio-analysis/5UHNEyr0StokdWPuxEUjHq,208000,4,47
